zpid,Status Type,Status Text,Time On Zillow,Price,Area,Price Per Sqft,Zestimate,Zestimate Price Per Sqft,Rent Zestimate,Lot Area,Lot Area Unit,Beds,Bathrooms,Address,Street,City,State,Zipcode,Latitude,Longitude,Broker Name,is zillow owned,Sold Date,Sold Price,Image URL,Detail URL,Search Page URL,latitude,longitude
353534611,FOR_SALE,Multi-family home for sale,25 days,399000,2166.0,184.0,,,,3720.024,sqft,4,2.0,"2529B Aubry St, New Orleans, LA 70119",2529B Aubry St,New Orleans,LA,70119,29.98147,-90.072495,"Villere Realty, LLC",False,,,https://photos.zillowstatic.com/fp/3a6dcbc689a85d1807655fda960cf1e6-p_e.jpg,https://www.zillow.com/homedetails/2529B-Aubry-St-New-Orleans-LA-70119/353534611_zpid/,https://www.zillow.com/new-orleans-la/?searchQueryState=%7B%22pagination%22%3A%7B%22currentPage%22%3A2%7D%2C%22isMapVisible%22%3Atrue%2C%22mapBounds%22%3A%7B%22west%22%3A-90.49917116601563%2C%22east%22%3A-89.26595583398438%2C%22south%22%3A29.547910400237384%2C%22north%22%3A30.52632221620614%7D%2C%22usersSearchTerm%22%3A%22New%20Orleans%2C%20LA%22%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A19594%2C%22regionType%22%3A6%7D%5D%2C%22filterState%22%3A%7B%22sort%22%3A%7B%22value%22%3A%22globalrelevanceex%22%7D%2C%22ah%22%3A%7B%22value%22%3Atrue%7D%2C%22sch%22%3A%7B%22value%22%3Atrue%7D%2C%22schm%22%3A%7B%22value%22%3Afalse%7D%2C%22schh%22%3A%7B%22value%22%3Afalse%7D%2C%22schu%22%3A%7B%22value%22%3Afalse%7D%7D%2C%22isListVisible%22%3Atrue%7D,29.9814649,-90.0724881
2070098792,FOR_SALE,Multi-family home for sale,24 days,449000,2274.0,197.0,,,,3600.0,sqft,4,4.0,"312-14 S Clark St, New Orleans, LA 70119",312-14 S Clark St,New Orleans,LA,70119,29.968649,-90.09707,"McEnery Residential, LLC",False,,,https://photos.zillowstatic.com/fp/9b004b6f30091be7034063fe5d5afcdd-p_e.jpg,https://www.zillow.com/homedetails/312-14-S-Clark-St-New-Orleans-LA-70119/2070098792_zpid/,https://www.zillow.com/new-orleans-la/?searchQueryState=%7B%22pagination%22%3A%7B%22currentPage%22%3A2%7D%2C%22isMapVisible%22%3Atrue%2C%22mapBounds%22%3A%7B%22west%22%3A-90.49917116601563%2C%22east%22%3A-89.26595583398438%2C%22south%22%3A29.547910400237384%2C%22north%22%3A30.52632221620614%7D%2C%22usersSearchTerm%22%3A%22New%20Orleans%2C%20LA%22%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A19594%2C%22regionType%22%3A6%7D%5D%2C%22filterState%22%3A%7B%22sort%22%3A%7B%22value%22%3A%22globalrelevanceex%22%7D%2C%22ah%22%3A%7B%22value%22%3Atrue%7D%2C%22sch%22%3A%7B%22value%22%3Atrue%7D%2C%22schm%22%3A%7B%22value%22%3Afalse%7D%2C%22schh%22%3A%7B%22value%22%3Afalse%7D%2C%22schu%22%3A%7B%22value%22%3Afalse%7D%7D%2C%22isListVisible%22%3Atrue%7D,29.9686657,-90.0967465
2077596717,FOR_SALE,Multi-family home for sale,91 days,229000,1160.0,197.0,,,,2176.0,sqft,2,2.0,"2001-03 Rev John Raphael Jr Way, New Orleans, LA 70113",2001-03 Rev John Raphael Jr Way,New Orleans,LA,70113,29.946081,-90.08144,Keller Williams Realty New Orleans,False,,,https://photos.zillowstatic.com/fp/a41ea7f9870aa1bdc5db7ba79d26d679-p_e.jpg,https://www.zillow.com/homedetails/2001-03-Rev-John-Raphael-Jr-Way-New-Orleans-LA-70113/2077596717_zpid/,https://www.zillow.com/new-orleans-la/?searchQueryState=%7B%22pagination%22%3A%7B%22currentPage%22%3A2%7D%2C%22isMapVisible%22%3Atrue%2C%22mapBounds%22%3A%7B%22west%22%3A-90.49917116601563%2C%22east%22%3A-89.26595583398438%2C%22south%22%3A29.547910400237384%2C%22north%22%3A30.52632221620614%7D%2C%22usersSearchTerm%22%3A%22New%20Orleans%2C%20LA%22%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A19594%2C%22regionType%22%3A6%7D%5D%2C%22filterState%22%3A%7B%22sort%22%3A%7B%22value%22%3A%22globalrelevanceex%22%7D%2C%22ah%22%3A%7B%22value%22%3Atrue%7D%2C%22sch%22%3A%7B%22value%22%3Atrue%7D%2C%22schm%22%3A%7B%22value%22%3Afalse%7D%2C%22schh%22%3A%7B%22value%22%3Afalse%7D%2C%22schu%22%3A%7B%22value%22%3Afalse%7D%7D%2C%22isListVisible%22%3Atrue%7D,29.941641,-90.0848559
388183352,FOR_SALE,Multi-family home for sale,9 days,375000,2886.0,130.0,,,,6450.0,sqft,4,2.0,"6816-18 Canal Blvd, New Orleans, LA 70124",6816-18 Canal Blvd,New Orleans,LA,70124,29.988857,-90.10968,RE/MAX Affiliates,False,,,https://photos.zillowstatic.com/fp/f02c853c2f19e40da89c435857a9ce17-p_e.jpg,https://www.zillow.com/homedetails/6816-18-Canal-Blvd-New-Orleans-LA-70124/388183352_zpid/,https://www.zillow.com/new-orleans-la/?searchQueryState=%7B%22pagination%22%3A%7B%22currentPage%22%3A2%7D%2C%22isMapVisible%22%3Atrue%2C%22mapBounds%22%3A%7B%22west%22%3A-90.49917116601563%2C%22east%22%3A-89.26595583398438%2C%22south%22%3A29.547910400237384%2C%22north%22%3A30.52632221620614%7D%2C%22usersSearchTerm%22%3A%22New%20Orleans%2C%20LA%22%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A19594%2C%22regionType%22%3A6%7D%5D%2C%22filterState%22%3A%7B%22sort%22%3A%7B%22value%22%3A%22globalrelevanceex%22%7D%2C%22ah%22%3A%7B%22value%22%3Atrue%7D%2C%22sch%22%3A%7B%22value%22%3Atrue%7D%2C%22schm%22%3A%7B%22value%22%3Afalse%7D%2C%22schh%22%3A%7B%22value%22%3Afalse%7D%2C%22schu%22%3A%7B%22value%22%3Afalse%7D%7D%2C%22isListVisible%22%3Atrue%7D,30.0144961,-90.10733909999999
399436927,FOR_SALE,Multi-family home for sale,6 days,774900,2992.0,259.0,,,,3327.984,sqft,4,4.0,"217-217A S Solomon St, New Orleans, LA 70119",217-217A S Solomon St,New Orleans,LA,70119,29.97258,-90.10501,RE/MAX Affiliates,False,,,https://photos.zillowstatic.com/fp/f974d9b2c825a74847a54613edd617a7-p_e.jpg,https://www.zillow.com/homedetails/217-217A-S-Solomon-St-New-Orleans-LA-70119/399436927_zpid/,https://www.zillow.com/new-orleans-la/?searchQueryState=%7B%22pagination%22%3A%7B%22currentPage%22%3A2%7D%2C%22isMapVisible%22%3Atrue%2C%22mapBounds%22%3A%7B%22west%22%3A-90.49917116601563%2C%22east%22%3A-89.26595583398438%2C%22south%22%3A29.547910400237384%2C%22north%22%3A30.52632221620614%7D%2C%22usersSearchTerm%22%3A%22New%20Orleans%2C%20LA%22%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A19594%2C%22regionType%22%3A6%7D%5D%2C%22filterState%22%3A%7B%22sort%22%3A%7B%22value%22%3A%22globalrelevanceex%22%7D%2C%22ah%22%3A%7B%22value%22%3Atrue%7D%2C%22sch%22%3A%7B%22value%22%3Atrue%7D%2C%22schm%22%3A%7B%22value%22%3Afalse%7D%2C%22schh%22%3A%7B%22value%22%3Afalse%7D%2C%22schu%22%3A%7B%22value%22%3Afalse%7D%7D%2C%22isListVisible%22%3Atrue%7D,29.9745057,-90.1035078
2056244237,FOR_SALE,Multi-family home for sale,88 days,230000,1224.0,188.0,,,,4880.0,sqft,2,2.0,"3607-09 N Robertson St, New Orleans, LA 70117",3607-09 N Robertson St,New Orleans,LA,70117,29.96972,-90.03436,Axis Realty Group LLC,False,,,https://photos.zillowstatic.com/fp/9b501a6a434fdae63ac120e2d3071ec7-p_e.jpg,https://www.zillow.com/homedetails/3607-09-N-Robertson-St-New-Orleans-LA-70117/2056244237_zpid/,https://www.zillow.com/new-orleans-la/?searchQueryState=%7B%22pagination%22%3A%7B%22currentPage%22%3A2%7D%2C%22isMapVisible%22%3Atrue%2C%22mapBounds%22%3A%7B%22west%22%3A-90.49917116601563%2C%22east%22%3A-89.26595583398438%2C%22south%22%3A29.547910400237384%2C%22north%22%3A30.52632221620614%7D%2C%22usersSearchTerm%22%3A%22New%20Orleans%2C%20LA%22%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A19594%2C%22regionType%22%3A6%7D%5D%2C%22filterState%22%3A%7B%22sort%22%3A%7B%22value%22%3A%22globalrelevanceex%22%7D%2C%22ah%22%3A%7B%22value%22%3Atrue%7D%2C%22sch%22%3A%7B%22value%22%3Atrue%7D%2C%22schm%22%3A%7B%22value%22%3Afalse%7D%2C%22schh%22%3A%7B%22value%22%3Afalse%7D%2C%22schu%22%3A%7B%22value%22%3Afalse%7D%7D%2C%22isListVisible%22%3Atrue%7D,29.970638,-90.0373019
73774844,FOR_SALE,House for sale,9 days,449000,1775.0,253.0,,,,4791.6,sqft,3,2.0,"212 David St, New Orleans, LA 70119",212 David St,New Orleans,LA,70119,29.97613,-90.1,"eXp Realty, LLC",False,,,https://photos.zillowstatic.com/fp/6cb7840971f6b0fc80198f0099e9c8e6-p_e.jpg,https://www.zillow.com/homedetails/212-David-St-New-Orleans-LA-70119/73774844_zpid/,https://www.zillow.com/new-orleans-la/?searchQueryState=%7B%22pagination%22%3A%7B%22currentPage%22%3A2%7D%2C%22isMapVisible%22%3Atrue%2C%22mapBounds%22%3A%7B%22west%22%3A-90.49917116601563%2C%22east%22%3A-89.26595583398438%2C%22south%22%3A29.547910400237384%2C%22north%22%3A30.52632221620614%7D%2C%22usersSearchTerm%22%3A%22New%20Orleans%2C%20LA%22%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A19594%2C%22regionType%22%3A6%7D%5D%2C%22filterState%22%3A%7B%22sort%22%3A%7B%22value%22%3A%22globalrelevanceex%22%7D%2C%22ah%22%3A%7B%22value%22%3Atrue%7D%2C%22sch%22%3A%7B%22value%22%3Atrue%7D%2C%22schm%22%3A%7B%22value%22%3Afalse%7D%2C%22schh%22%3A%7B%22value%22%3Afalse%7D%2C%22schu%22%3A%7B%22value%22%3Afalse%7D%7D%2C%22isListVisible%22%3Atrue%7D,29.9761976,-90.1001364
84483358,FOR_SALE,House for sale,27 days,129900,2252.0,58.0,,,,8337.384,sqft,3,2.0,"3203 Holly Grove St, New Orleans, LA 70116",3203 Holly Grove St,New Orleans,LA,70116,29.971106,-90.11795,"23 Realty, LLC",False,,,https://photos.zillowstatic.com/fp/2847ec3ddd45174aec65731fc3ce9ece-p_e.jpg,https://www.zillow.com/homedetails/3203-Holly-Grove-St-New-Orleans-LA-70116/84483358_zpid/,https://www.zillow.com/new-orleans-la/?searchQueryState=%7B%22pagination%22%3A%7B%22currentPage%22%3A2%7D%2C%22isMapVisible%22%3Atrue%2C%22mapBounds%22%3A%7B%22west%22%3A-90.49917116601563%2C%22east%22%3A-89.26595583398438%2C%22south%22%3A29.547910400237384%2C%22north%22%3A30.52632221620614%7D%2C%22usersSearchTerm%22%3A%22New%20Orleans%2C%20LA%22%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A19594%2C%22regionType%22%3A6%7D%5D%2C%22filterState%22%3A%7B%22sort%22%3A%7B%22value%22%3A%22globalrelevanceex%22%7D%2C%22ah%22%3A%7B%22value%22%3Atrue%7D%2C%22sch%22%3A%7B%22value%22%3Atrue%7D%2C%22schm%22%3A%7B%22value%22%3Afalse%7D%2C%22schh%22%3A%7B%22value%22%3Afalse%7D%2C%22schu%22%3A%7B%22value%22%3Afalse%7D%7D%2C%22isListVisible%22%3Atrue%7D,29.967708,-90.12154629999999
84467704,FOR_SALE,House for sale,0,195000,1955.0,100.0,,,,6300.0,sqft,3,2.0,"4901 Coronado Dr, New Orleans, LA 70127",4901 Coronado Dr,New Orleans,LA,70127,30.025442,-89.96414,Mirambell Realty,False,,,https://photos.zillowstatic.com/fp/02acfbf63870574dbec7cb192cc612b4-p_e.jpg,https://www.zillow.com/homedetails/4901-Coronado-Dr-New-Orleans-LA-70127/84467704_zpid/,https://www.zillow.com/new-orleans-la/?searchQueryState=%7B%22pagination%22%3A%7B%22currentPage%22%3A2%7D%2C%22isMapVisible%22%3Atrue%2C%22mapBounds%22%3A%7B%22west%22%3A-90.49917116601563%2C%22east%22%3A-89.26595583398438%2C%22south%22%3A29.547910400237384%2C%22north%22%3A30.52632221620614%7D%2C%22usersSearchTerm%22%3A%22New%20Orleans%2C%20LA%22%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A19594%2C%22regionType%22%3A6%7D%5D%2C%22filterState%22%3A%7B%22sort%22%3A%7B%22value%22%3A%22globalrelevanceex%22%7D%2C%22ah%22%3A%7B%22value%22%3Atrue%7D%2C%22sch%22%3A%7B%22value%22%3Atrue%7D%2C%22schm%22%3A%7B%22value%22%3Afalse%7D%2C%22schh%22%3A%7B%22value%22%3Afalse%7D%2C%22schu%22%3A%7B%22value%22%3Afalse%7D%7D%2C%22isListVisible%22%3Atrue%7D,30.0254389,-89.9641465
126374223,FOR_SALE,House for sale,82 days,159000,2197.0,72.0,,,,4750.0,sqft,4,2.0,"1231 Deslonde St, New Orleans, LA 70117",1231 Deslonde St,New Orleans,LA,70117,29.964724,-90.02328,Galiano Realty,False,,,https://photos.zillowstatic.com/fp/adc81176c5fa92c0be76f5be255b2397-p_e.jpg,https://www.zillow.com/homedetails/1231-Deslonde-St-New-Orleans-LA-70117/126374223_zpid/,https://www.zillow.com/new-orleans-la/?searchQueryState=%7B%22pagination%22%3A%7B%22currentPage%22%3A2%7D%2C%22isMapVisible%22%3Atrue%2C%22mapBounds%22%3A%7B%22west%22%3A-90.49917116601563%2C%22east%22%3A-89.26595583398438%2C%22south%22%3A29.547910400237384%2C%22north%22%3A30.52632221620614%7D%2C%22usersSearchTerm%22%3A%22New%20Orleans%2C%20LA%22%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A19594%2C%22regionType%22%3A6%7D%5D%2C%22filterState%22%3A%7B%22sort%22%3A%7B%22value%22%3A%22globalrelevanceex%22%7D%2C%22ah%22%3A%7B%22value%22%3Atrue%7D%2C%22sch%22%3A%7B%22value%22%3Atrue%7D%2C%22schm%22%3A%7B%22value%22%3Afalse%7D%2C%22schh%22%3A%7B%22value%22%3Afalse%7D%2C%22schu%22%3A%7B%22value%22%3Afalse%7D%7D%2C%22isListVisible%22%3Atrue%7D,29.96471369999999,-90.0232894
